,imdb-id,movie_name,year_of_release,runtime,IMDB_rating,no_of_votes,plot_description,director,actors
0,tt10811166,The Kashmir Files,(2022),170 min,8.3,"548,031","The Kashmir Files' is a story, based on video interviews of the first generation victims of the Genocide of Kashmiri Pandit Community In 1990.",Vivek Agnihotri,"    Vivek Agnihotri|     Mithun Chakraborty, Anupam Kher, Darshan Kumaar, Pallavi Joshi"
1,tt1187043,3 Idiots,(2009),170 min,8.4,"387,020","Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",Rajkumar Hirani,"    Rajkumar Hirani|     Aamir Khan, Madhavan, Mona Singh, Sharman Joshi"
2,tt0986264,Taare Zameen Par,(2007),165 min,8.3,"188,938","An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.",Aamir Khan,"    Aamir Khan, Amole Gupte|     Darsheel Safary, Aamir Khan, Tisca Chopra, Vipin Sharma"
3,tt5074352,Dangal,(2016),161 min,8.3,"183,452",Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,Nitesh Tiwari,"    Nitesh Tiwari|     Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh, Sanya Malhotra"
4,tt2338151,PK,(2014),153 min,8.1,"180,108",An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religion on its people.,Rajkumar Hirani,"    Rajkumar Hirani|     Aamir Khan, Anushka Sharma, Sanjay Dutt, Boman Irani"
5,tt2239822,Valerian and the City of a Thousand Planets,(2017),136 min,6.4,"178,452","A dark force threatens Alpha, a vast metropolis and home to species from a thousand planets. Special operatives Valerian and Laureline must race to identify the marauding menace and safeguard not just Alpha, but the future of the universe.",Luc Besson,"    Luc Besson|     Dane DeHaan, Cara Delevingne, Clive Owen, Rihanna"
6,tt10888594,Radhe,(2021),135 min,1.9,"176,724","After taking the dreaded gangster Gani Bhai, ACP Rajveer Shikawat aka Radhe goes on a manhunt to find the wealthiest man of the town secretly running a crime syndicate.",Prabhu Deva,"    Prabhu Deva|     Salman Khan, Disha Patani, Randeep Hooda, Jackie Shroff"
7,tt8110330,Dil Bechara,(2020),101 min,8.1,"128,813","The emotional journey of two hopelessly in love youngsters, a young girl, Kizie, suffering from cancer, and a boy, Manny, whom she meets at a support group.",Mukesh Chhabra,"    Mukesh Chhabra|     Sushant Singh Rajput, Sanjana Sanghi, Sahil Vaid, Saswata Chatterjee"
8,tt0405508,Rang De Basanti,(2006),167 min,8.1,"118,221","The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom.",Rakeysh Omprakash Mehra,"    Rakeysh Omprakash Mehra|     Aamir Khan, Soha Ali Khan, Siddharth, Sharman Joshi"
9,tt10295212,Shershaah,(2021),135 min,8.4,"117,190","The story of PVC awardee Indian soldier Capt. Vikram Batra, who shot to fame and became a household name during the Kargil War in 1999.",Vishnuvardhan,"    Vishnuvardhan|     Sidharth Malhotra, Kiara Advani, Shiv Panditt, Pranay Pachauri"
10,tt0169102,Lagaan: Once Upon a Time in India,(2001),224 min,8.1,"112,262",The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,Ashutosh Gowariker,"    Ashutosh Gowariker|     Aamir Khan, Raghuvir Yadav, Gracy Singh, Rachel Shelley"
11,tt1188996,My Name Is Khan,(2010),165 min,7.9,"105,502",An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.,Karan Johar,"    Karan Johar|     Shah Rukh Khan, Kajol, Sheetal Menon, Katie Amanda Keane"
12,tt7886848,Sadak 2,(2020),133 min,1.1,"94,787","The film picks up where Sadak left off, revolving around the journey with a young girl who becomes an important character in the life of the protagonist, and the reason for him to stay alive.",Mahesh Bhatt,"    Mahesh Bhatt|     Alia Bhatt, Sanjay Dutt, Priyanka Bose, Aditya Roy Kapoor"
13,tt1954470,Gangs of Wasseypur,(2012),321 min,8.2,"93,896","A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",Anurag Kashyap,"    Anurag Kashyap|     Manoj Bajpayee, Richa Chadha, Nawazuddin Siddiqui, Tigmanshu Dhulia"
14,tt8108198,Andhadhun,(2018),139 min,8.2,"89,460","A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of.",Sriram Raghavan,"    Sriram Raghavan|     Ayushmann Khurrana, Tabu, Radhika Apte, Anil Dhawan"
15,tt0367110,"Swades: We, the People",(2004),210 min,8.1,"89,238",A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.,Ashutosh Gowariker,"    Ashutosh Gowariker|     Shah Rukh Khan, Gayatri Joshi, Kishori Ballal, Smith Seth"
16,tt3863552,Bajrangi Bhaijaan,(2015),163 min,8.1,"85,251",An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.,Kabir Khan,"    Kabir Khan|     Salman Khan, Harshaali Malhotra, Nawazuddin Siddiqui, Kareena Kapoor"
17,tt2082197,Barfi!,(2012),151 min,8.1,"80,884",Three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal.,Anurag Basu,"    Anurag Basu|     Ranbir Kapoor, Priyanka Chopra Jonas, Ileana D'Cruz, Saurabh Shukla"
18,tt0374887,Munna Bhai M.B.B.S.,(2003),156 min,8.1,"80,493",A gangster sets out to fulfill his father's dream of becoming a doctor.,Rajkumar Hirani,"    Rajkumar Hirani|     Sanjay Dutt, Arshad Warsi, Gracy Singh, Boman Irani"
19,tt4430212,Drishyam,(2015),163 min,8.2,"79,848","Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.",Nishikant Kamat,"    Nishikant Kamat|     Ajay Devgn, Shriya Saran, Tabu, Rajat Kapoor"
20,tt0871510,Chak De! India,(2007),153 min,8.1,"79,266","Kabir Khan, the coach of the Indian Women's National Hockey Team, dreams of making his all-girls team emerge victorious against all odds.",Shimit Amin,"    Shimit Amin|     Shah Rukh Khan, Vidya Malvade, Sagarika Ghatge, Shilpa Shukla"
21,tt1562872,Zindagi Na Milegi Dobara,(2011),155 min,8.1,"76,141",Three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged.,Zoya Akhtar,"    Zoya Akhtar|     Hrithik Roshan, Farhan Akhtar, Abhay Deol, Katrina Kaif"
22,tt9531772,Sooryavanshi,(2021),145 min,6.4,"75,379","Sooryavanshi traces the acts and serious antics of DCP Veer Sooryavanshi, the chief of the Anti-Terrorism Squad in India.",Rohit Shetty,"    Rohit Shetty|     Akshay Kumar, Katrina Kaif, Ajay Devgn, Ranveer Singh"
23,tt10280276,Coolie No. 1,(2020),134 min,4.2,"73,288","After being insulted by a rich businessman named Rosario, pandit Jai Kishen teaches him a lesson by getting his daughter married to Raju - a Coolie posing as a millionaire.",David Dhawan,"    David Dhawan|     Varun Dhawan, Sara Ali Khan, Paresh Rawal, Jaaved Jaaferi"
