movie_name,genres
The Kashmir Files,"['Political Drama', 'Tragedy', 'Drama', 'Back to top']"
3 Idiots,"['Coming-of-Age', 'Comedy', 'Drama', 'Back to top']"
Taare Zameen Par,"['Drama', 'Family', 'Back to top']"
Dangal,"['Action', 'Biography', 'Drama', 'Sport', 'Back to top']"
PK,"['Satire', 'Comedy', 'Drama', 'Sci-Fi', 'Back to top']"
Valerian and the City of a Thousand Planets,"['Space Sci-Fi', 'Teen Adventure', 'Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'Back to top']"
Radhe,"['Action', 'Crime', 'Thriller', 'Back to top']"
Dil Bechara,"['Comedy', 'Drama', 'Romance', 'Back to top']"
Rang De Basanti,"['Comedy', 'Crime', 'Drama', 'Back to top']"
Shershaah,"['Action Epic', 'Docudrama', 'Action', 'Biography', 'Drama', 'War', 'Back to top']"
Lagaan: Once Upon a Time in India,"['Period Drama', 'Drama', 'Musical', 'Sport', 'Back to top']"
My Name Is Khan,"['Psychological Drama', 'Road Trip', 'Tragedy', 'Adventure', 'Drama', 'Romance', 'Back to top']"
Sadak 2,"['Action', 'Drama', 'Back to top']"
Gangs of Wasseypur,"['Satire', 'True Crime', 'Action', 'Comedy', 'Crime', 'Drama', 'Thriller', 'Back to top']"
Andhadhun,"['Crime', 'Mystery', 'Thriller', 'Back to top']"
"Swades: We, the People","['Drama', 'Musical', 'Back to top']"
Bajrangi Bhaijaan,"['Action', 'Adventure', 'Comedy', 'Drama', 'Back to top']"
Barfi!,"['Comedy', 'Drama', 'Romance', 'Back to top']"
Munna Bhai M.B.B.S.,"['Medical Drama', 'Comedy', 'Drama', 'Back to top']"
Drishyam,"['Crime', 'Drama', 'Mystery', 'Thriller', 'Back to top']"
Chak De! India,"['Drama', 'Family', 'Sport', 'Back to top']"
Zindagi Na Milegi Dobara,"['Road Trip', 'Comedy', 'Drama', 'Musical', 'Romance', 'Back to top']"
Sooryavanshi,"['Cop Drama', 'Action', 'Crime', 'Drama', 'Thriller', 'Back to top']"
Coolie No. 1,"['Action', 'Comedy', 'Romance', 'Back to top']"
Dil Chahta Hai,"['Coming-of-Age', 'Comedy', 'Drama', 'Romance', 'Back to top']"
Kal Ho Naa Ho,"['Comedy', 'Drama', 'Musical', 'Romance', 'Back to top']"
Bhaag Milkha Bhaag,"['Biography', 'Drama', 'Sport', 'Back to top']"
Hera Pheri,"['Action', 'Comedy', 'Crime', 'Drama', 'Back to top']"
Queen,"['Adventure', 'Comedy', 'Drama', 'Back to top']"
Kahaani,"['Mystery', 'Thriller', 'Back to top']"
Hotel Mumbai,"['Action', 'Drama', 'History', 'Thriller', 'Back to top']"
Ghajini,"['One-Person Army Action', 'Psychological Thriller', 'Tragic Romance', 'Action', 'Drama', 'Mystery', 'Romance', 'Thriller', 'Back to top']"
Uri: The Surgical Strike,"['Action Epic', 'Action', 'Drama', 'History', 'War', 'Back to top']"
The White Tiger,"['Crime', 'Drama', 'Back to top']"
Gunday,"['Action', 'Drama', 'Musical', 'Romance', 'Back to top']"
OMG: Oh My God!,"['Satire', 'Comedy', 'Drama', 'Fantasy', 'Back to top']"
Baby,"['Spy', 'Action', 'Crime', 'Thriller', 'Back to top']"
Laxmii,"['Action', 'Comedy', 'Horror', 'Back to top']"
Airlift,"['Period Drama', 'Action', 'Drama', 'History', 'Back to top']"
Special Chabbis,"['True Crime', 'Crime', 'Drama', 'Thriller', 'Back to top']"
The Lunchbox,"['Drama', 'Romance', 'Back to top']"
Sholay,"['Action', 'Adventure', 'Comedy', 'Drama', 'Musical', 'Thriller', 'Western', 'Back to top']"
Haider,"['Action', 'Crime', 'Drama', 'Thriller', 'Back to top']"
Jab Tak Hai Jaan,"['Drama', 'Romance', 'Back to top']"
M.S. Dhoni: The Untold Story,"['Biography', 'Drama', 'Sport', 'Back to top']"
Chennai Express,"['Action', 'Comedy', 'Drama', 'Romance', 'Back to top']"
Sanju,"['Biography', 'Comedy', 'Drama', 'Back to top']"
Andaz Apna Apna,"['Parody', 'Slapstick', 'Action', 'Comedy', 'Romance', 'Back to top']"
Don 2,"['Action', 'Crime', 'Thriller', 'Back to top']"
Veer-Zaara,"['Romantic Epic', 'Drama', 'Family', 'Musical', 'Romance', 'Back to top']"
Jab We Met,"['Comedy', 'Drama', 'Romance', 'Back to top']"
Kuch Kuch Hota Hai,"['Comedy', 'Drama', 'Musical', 'Romance', 'Back to top']"
Chhichhore,"['Comedy', 'Drama', 'Romance', 'Back to top']"
Rab Ne Bana Di Jodi,"['Comedy', 'Drama', 'Music', 'Romance', 'Back to top']"
Gangubai Kathiawadi,"['True Crime', 'Biography', 'Crime', 'Drama', 'Back to top']"
Lage Raho Munna Bhai,"['Buddy Comedy', 'Comedy', 'Drama', 'Romance', 'Back to top']"
Race 3,"['Action', 'Crime', 'Thriller', 'Back to top']"
Dhoom:3,"['Action', 'Crime', 'Drama', 'Thriller', 'Back to top']"
Sultan,"['Action', 'Drama', 'Romance', 'Sport', 'Back to top']"
Fan,"['Action', 'Drama', 'Thriller', 'Back to top']"
Udaan,"['Drama', 'Back to top']"
Pink,"['Crime', 'Drama', 'Thriller', 'Back to top']"
Raees,"['Action', 'Crime', 'Drama', 'Back to top']"
Rockstar,"['Drama', 'Music', 'Romance', 'Back to top']"
Yeh Jawaani Hai Deewani,"['Comedy', 'Drama', 'Musical', 'Romance', 'Back to top']"
Om Shanti Om,"['Parody', 'Action', 'Comedy', 'Drama', 'Fantasy', 'Musical', 'Romance', 'Thriller', 'Back to top']"
Tumbbad,"['Body Horror', 'Folk Horror', 'Drama', 'Fantasy', 'Horror', 'Thriller', 'Back to top']"
Talaash,"['Crime', 'Drama', 'Mystery', 'Thriller', 'Back to top']"
Devdas,"['Drama', 'Musical', 'Romance', 'Back to top']"
Gehraiyaan,"['Drama', 'Romance', 'Back to top']"
Antim: The Final Truth,"['Action', 'Crime', 'Drama', 'Back to top']"
Dhamaka,"['Action', 'Crime', 'Drama', 'Thriller', 'Back to top']"
Sardar Udham,"['True Crime', 'Biography', 'Crime', 'Drama', 'History', 'Back to top']"
Dear Zindagi,"['Drama', 'Romance', 'Back to top']"
Gully Boy,"['Drama', 'Music', 'Romance', 'Back to top']"
Ludo,"['Dark Comedy', 'Action', 'Comedy', 'Crime', 'Drama', 'Back to top']"
Mimi,"['Comedy', 'Drama', 'Back to top']"
Don,"['Action', 'Crime', 'Thriller', 'Back to top']"
Happy New Year,"['Caper', 'Action', 'Comedy', 'Crime', 'Drama', 'Music', 'Back to top']"
Kai po che!,"['Drama', 'Sport', 'Back to top']"
Paan Singh Tomar,"['True Crime', 'Action', 'Biography', 'Crime', 'Sport', 'Thriller', 'Back to top']"
Main Hoon Na,"['Parody', 'Action', 'Comedy', 'Drama', 'Musical', 'Romance', 'Thriller', 'Back to top']"
Talvar,"['True Crime', 'Crime', 'Drama', 'Mystery', 'Thriller', 'Back to top']"
Black,"['Drama', 'Back to top']"
Gunjan Saxena: The Kargil Girl,"['Action', 'Biography', 'Drama', 'War', 'Back to top']"
Toofaan,"['Boxing', 'Action', 'Drama', 'Sport', 'Back to top']"
Bajirao Mastani,"['Action', 'Drama', 'History', 'Romance', 'War', 'Back to top']"
Dilwale,"['Action', 'Comedy', 'Drama', 'Romance', 'Back to top']"
Ek Tha Tiger,"['Action Epic', 'Globetrotting Adventure', 'Spy', 'Action', 'Adventure', 'Romance', 'Thriller', 'Back to top']"
Bachchhan Paandey,"['Dark Comedy', 'Action', 'Comedy', 'Crime', 'Drama', 'Back to top']"
83,"['Biography', 'Drama', 'History', 'Sport', 'Back to top']"
Badhaai ho,"['Comedy', 'Drama', 'Back to top']"
Anand,"['Drama', 'Musical', 'Back to top']"
Stree,"['Comedy', 'Horror', 'Back to top']"
Thappad,"['Drama', 'Back to top']"
Fanaa,"['Action', 'Drama', 'Romance', 'Thriller', 'Back to top']"
Article 15,"['True Crime', 'Crime', 'Drama', 'Mystery', 'Thriller', 'Back to top']"
The Tashkent Files,"['Drama', 'Mystery', 'Thriller', 'Back to top']"
Raanjhanaa,"['Drama', 'Romance', 'Back to top']"
Dabangg,"['Cop Drama', 'One-Person Army Action', 'Action', 'Comedy', 'Crime', 'Drama', 'Back to top']"
Jodhaa Akbar,"['Action', 'Drama', 'History', 'Romance', 'War', 'Back to top']"
Kabir Singh,"['Dark Romance', 'Medical Drama', 'Psychological Drama', 'Action', 'Drama', 'Romance', 'Back to top']"
Padmaavat,"['Drama', 'History', 'Romance', 'War', 'Back to top']"
Piku,"['Comedy', 'Drama', 'Back to top']"
Wake Up Sid,"['Coming-of-Age', 'Comedy', 'Drama', 'Romance', 'Back to top']"
Bharat,"['Action', 'Comedy', 'Drama', 'Back to top']"
Dev.D,"['Comedy', 'Drama', 'Romance', 'Back to top']"
Super 30,"['Biography', 'Drama', 'Back to top']"
Raazi,"['Action', 'Drama', 'Thriller', 'Back to top']"
Mohabbatein,"['Drama', 'Musical', 'Romance', 'Back to top']"
Aashiqui 2,"['Drama', 'Music', 'Musical', 'Romance', 'Back to top']"
Kick,"['Action', 'Comedy', 'Crime', 'Thriller', 'Back to top']"
Tanhaji: The Unsung Warrior,"['Action Epic', 'Epic', 'Period Drama', 'Action', 'Biography', 'Drama', 'History', 'Back to top']"
Tanu Weds Manu Returns,"['Comedy', 'Drama', 'Romance', 'Back to top']"
Tiger Zinda Hai,"['Action', 'Adventure', 'Thriller', 'Back to top']"
Highway,"['Crime', 'Drama', 'Romance', 'Back to top']"
Dil Se..,"['Drama', 'Romance', 'Back to top']"
Holiday,"['Action', 'Crime', 'Thriller', 'Back to top']"
Hindi Medium,"['Comedy', 'Drama', 'Back to top']"
Baazigar,"['Crime', 'Drama', 'Musical', 'Romance', 'Thriller', 'Back to top']"
Masaan,"['Drama', 'Back to top']"
Zero,"['Comedy', 'Drama', 'Romance', 'Back to top']"
Badla,"['Crime', 'Drama', 'Mystery', 'Thriller', 'Back to top']"
Tamasha,"['Comedy', 'Drama', 'Romance', 'Back to top']"
